sscha_index,atom_index,local_knn_score,local_knn_percentile,nearest_corrected_config,nearest_corrected_atom,force_error_norm_meV_A,force_error_x_meV_A,force_error_y_meV_A,force_error_z_meV_A,nearest_distance_A,second_distance_A,third_distance_A
65,11,1.72350930701991,27.361111111111114,62,22,32.24619046978701,-11.308488434524532,-28.946852054729465,8.603176463470447,1.373419000957773,1.403253715282966,1.4515167265535731
65,12,1.5338716275321667,10.444444444444445,196,13,29.848811813598243,28.794812926139834,7.861693108701707,-0.06400544355392168,1.3949103676174117,1.4382265047970735,1.4494005910787482
65,13,2.023584417395603,56.39351851851851,260,59,35.95494306670366,5.394741037826556,-32.347555645980826,14.740771478958138,1.348069609005279,1.4668780840530653,1.4811646067349575
65,14,2.329798989271655,77.32870370370371,238,8,126.56393798554949,-100.96275239379881,75.92599316146853,-7.758646139831543,1.296308069719481,1.4432589468508916,1.4597187099506868
65,15,1.5203310038596187,9.606481481481481,89,14,70.57825748315521,22.01311901160717,61.90166865791322,-25.785585859260564,1.421472838103007,1.4273916589481437,1.4319536794719476
65,16,2.002869053187665,54.56481481481481,100,25,26.24229385926138,-6.2315195298004165,-24.731000949440002,-6.180917681407927,1.422784860907071,1.4260731281505619,1.437317563771016
65,17,1.5757954592542425,13.717592592592592,156,69,18.518966341858885,12.452333708724977,0.5759014315414451,13.69524870597838,1.3761633050430189,1.4596454530905298,1.472432601935258
65,18,1.8820767503615368,43.449074074074076,266,32,54.82314465330041,-42.09503158935546,-34.96462114934921,3.325774052810676,1.3577838606015133,1.381249731149028,1.46211997247719
65,19,2.2601435309384756,73.59722222222223,15,37,36.071375615597255,9.772366667175291,23.98882723312379,25.103409260559097,1.3251074970658214,1.4250439143849456,1.519834078689076
65,20,1.9889068927422613,53.31481481481482,200,65,14.300769951240772,-2.7657692506027343,13.883680587749483,-2.0263156190681446,1.4173514219691496,1.4373484107456713,1.442147562724644
65,21,1.5658269701996514,12.981481481481483,9,11,74.67963465499881,40.41472143295288,62.75005319877624,-2.4756710709762513,1.3689541956154991,1.4114368663791956,1.4602990105821476
65,22,1.950730785092107,49.96296296296296,168,41,12.47745583883649,-1.0501859666728965,10.417011278648372,6.7874803621101325,1.369302900501576,1.412042226843043,1.4136379006954665
65,23,1.767011572461287,31.944444444444443,192,69,20.15653634343544,-6.49504410233498,-8.89896259513856,-16.879242406082156,1.4264893886346734,1.4644458410832273,1.4673312561948402
65,24,2.745534651996884,91.12962962962963,126,0,96.16217523218928,-88.34594961181641,31.090822539978024,-21.806372608947758,1.3175206748177444,1.4545224991795536,1.4711923856501437
65,25,1.7486348942758305,30.02314814814815,85,58,25.43991589561599,-13.508018807716377,17.416649133605965,12.703664102268219,1.3869632124476805,1.3929200767497565,1.4214568553458007
65,26,1.3735545948434926,2.273148148148148,45,20,23.378220309114653,6.506879248085018,-22.4527211642313,-0.2775240415191782,1.3730997061111108,1.4405037326233319,1.4545589739018574
65,27,1.945998562265261,49.574074074074076,112,36,21.011094169623963,-5.415549612426754,-16.773865752487183,11.435704102401745,1.3824479345777976,1.4460717280646853,1.4606821127335028
65,28,3.0976826574758944,96.43518518518519,226,7,56.47300933710724,45.50130620140075,27.05248432281493,-19.672188732299812,1.372963519103916,1.379283360724125,1.4977944743411533
65,29,1.8267019089574554,38.06481481481481,223,48,20.15397501351644,18.361513190154998,-2.1069891407776153,8.037296745414729,1.3789693128419653,1.4202438933528996,1.5077180862249586
65,30,2.1289179593922642,65.0324074074074,72,61,23.68791766842393,-0.586200743980414,13.098590002021792,-19.728171534957873,1.398430227951114,1.4046977137579169,1.4611375605078698
65,31,2.5294986796530594,85.55092592592592,286,36,20.13565822757008,2.268718672809599,-15.915210273437452,-12.124509466094974,1.4375601800557152,1.465626230067246,1.5260215966255175
65,32,1.9335376694202207,48.36574074074074,12,67,63.859523113120304,50.557932775115944,38.25402250350951,7.652704622745515,1.401891534443726,1.4161382827834514,1.5148292445263376
65,33,1.9113764967295785,46.26851851851852,259,15,52.92329052918738,49.27803010299681,-9.128757401809684,17.006358161106114,1.3475596008043589,1.391084458487832,1.4192784754096361
65,34,2.844633638340654,93.03703703703704,81,34,69.14941354360796,59.6513956742859,-33.95229126617427,8.402041734695443,1.414855391344323,1.4667022593355685,1.5602966323152094
65,35,1.6021423772456274,15.847222222222221,128,2,31.743252152023427,-6.2988415506744495,9.471100545654254,-29.63539955459593,1.413627303541222,1.4319571212437552,1.4839054222554193
65,36,2.487407457419118,84.05555555555554,127,31,108.49738539080491,82.73516471710197,-62.75766853118891,31.433265761041635,1.3198933492284028,1.4574200621561477,1.4622436022949392
65,37,2.718713570608702,90.53703703703704,131,41,79.53202084199565,-60.22970986541753,51.755811083526616,4.365822697448785,1.3927529576364828,1.4658647049579165,1.4917086605498664
65,38,2.692907377892131,90.00925925925925,244,37,60.20357602857108,59.63009425353994,3.020877496795693,7.719891520690913,1.3118625119806846,1.374432310514095,1.4979433143666026
65,39,2.940268088499856,94.59722222222223,297,34,12.729085001928025,7.028440561408999,-10.564454237499243,-1.0114024544334437,1.41096963657844,1.4290786076401183,1.4443060089054314
65,40,1.6050859226889478,16.09259259259259,241,56,45.12496814872024,-4.5858659270668065,44.05641526409149,-8.617706086883558,1.403253715282966,1.4243779819184519,1.4574032943381332
65,41,1.531518060137134,10.328703703703704,231,52,38.07897690032698,-24.252901659717566,-27.519445937385562,-10.221806990890508,1.390050777285507,1.3959560347626712,1.442485067575715
65,42,1.482362616111822,7.12037037037037,106,60,20.23055093884116,9.644757741851805,-12.045516313705429,13.082789309864044,1.3391327118614944,1.447806653915352,1.4668780840530653
