smearing_degauss_Ry,lattice_temperature_K,lattice_condition,direction,distance,signed_distance,q1,q2,short_range_background_cm-1,full_EPC_response_Ry2,long_range_correction_cm-2,MLIP_plus_full_EPC_cm-1
0.00285013035,,fixed_static_lattice_reference,KG,0.02,-0.02,0.32666666666666666,0.32666666666666666,1380.0799687172641,-5.1335577154974365e-06,-231847.50577880236,1293.3573420659282
0.00285013035,,fixed_static_lattice_reference,KG,0.021,-0.021,0.3263333333333333,0.3263333333333333,1380.0810170227319,-5.036370602211953e-06,-230677.15149857564,1293.8108293131272
0.00285013035,,fixed_static_lattice_reference,KG,0.022,-0.022,0.326,0.326,1380.0821298870073,-4.935716783883651e-06,-229465.0501909089,1294.2803541128753
0.00285013035,,fixed_static_lattice_reference,KG,0.023,-0.023,0.32566666666666666,0.32566666666666666,1380.0833087918027,-4.834235777285461e-06,-228242.98765176313,1294.7536258122495
0.00285013035,,fixed_static_lattice_reference,KG,0.024,-0.024,0.3253333333333333,0.3253333333333333,1380.0845552492738,-4.733718075877202e-06,-227032.5255019497,1295.2223184209095
0.00285013035,,fixed_static_lattice_reference,KG,0.025,-0.025,0.325,0.325,1380.0858708018882,-4.634233396005996e-06,-225834.50328513343,1295.6861145747732
0.00285013035,,fixed_static_lattice_reference,KG,0.026000000000000002,-0.026000000000000002,0.32466666666666666,0.32466666666666666,1380.0872570222903,-4.535106491672854e-06,-224640.78950097016,1296.1481580029108
0.00285013035,,fixed_static_lattice_reference,KG,0.027,-0.027,0.3243333333333333,0.3243333333333333,1380.0887155131586,-4.4368537718617204e-06,-223457.60289024026,1296.6060542032494
0.00285013035,,fixed_static_lattice_reference,KG,0.028,-0.028,0.324,0.324,1380.0902479070614,-4.3396195363875375e-06,-222286.6811514959,1297.0591394445662
0.00285013035,,fixed_static_lattice_reference,KG,0.029,-0.029,0.32366666666666666,0.32366666666666666,1380.0918558663009,-4.242614003849357e-06,-221118.51351718992,1297.5110855446671
0.00285013035,,fixed_static_lattice_reference,KG,0.03,-0.03,0.3233333333333333,0.3233333333333333,1380.0935410827624,-4.14643365720466e-06,-219960.28300118874,1297.9591284540395
0.00285013035,,fixed_static_lattice_reference,KG,0.031,-0.031,0.323,0.323,1380.0953052777486,-4.0523156617241624e-06,-218826.8878921747,1298.397536872859
0.00285013035,,fixed_static_lattice_reference,KG,0.032,-0.032,0.32266666666666666,0.32266666666666666,1380.0971502018156,-3.9596236006942394e-06,-217710.66428287025,1298.8292727346047
0.00285013035,,fixed_static_lattice_reference,KG,0.033,-0.033,0.3223333333333333,0.3223333333333333,1380.0990776346,-3.866514491699997e-06,-216589.41846585117,1299.2628854939337
0.00285013035,,fixed_static_lattice_reference,KG,0.034,-0.034,0.322,0.322,1380.1010893846453,-3.774638597113394e-06,-215483.02336012112,1299.6907299663885
0.00285013035,,fixed_static_lattice_reference,KG,0.035,-0.035,0.32166666666666666,0.32166666666666666,1380.1031872892179,-3.6856756697191156e-06,-214411.70701644552,1300.105034429685
0.00285013035,,fixed_static_lattice_reference,KG,0.036000000000000004,-0.036000000000000004,0.3213333333333333,0.3213333333333333,1380.1053732141243,-3.598395811326942e-06,-213360.65865834887,1300.5115080291093
0.00285013035,,fixed_static_lattice_reference,KG,0.037,-0.037,0.321,0.321,1380.1076490535195,-3.510220019811611e-06,-212298.82122410787,1300.9220967267504
0.00285013035,,fixed_static_lattice_reference,KG,0.038,-0.038,0.32066666666666666,0.32066666666666666,1380.1100167297118,-3.4236551927729066e-06,-211256.3834726723,1301.3251994812877
0.00285013035,,fixed_static_lattice_reference,KG,0.039,-0.039,0.3203333333333333,0.3203333333333333,1380.1124781929639,-3.341024481200644e-06,-210261.32143514988,1301.7100794834364
0.00285013035,,fixed_static_lattice_reference,KG,0.04,-0.04,0.32,0.32,1380.1150354212862,-3.2613495066757182e-06,-209301.85320618533,1302.081279256296
0.00285013035,,fixed_static_lattice_reference,KG,0.041,-0.041,0.31966666666666665,0.31966666666666665,1380.1176904202302,-3.18314881667329e-06,-208360.1387219596,1302.445661319086
0.00285013035,,fixed_static_lattice_reference,KG,0.042,-0.042,0.3193333333333333,0.3193333333333333,1380.1204452226752,-3.1034639731559956e-06,-207400.55164784088,1302.8169064276817
0.00285013035,,fixed_static_lattice_reference,KG,0.043000000000000003,-0.043000000000000003,0.319,0.319,1380.123301888608,-3.019675577235808e-06,-206391.54845304007,1303.2071132260112
0.00285013035,,fixed_static_lattice_reference,KG,0.044,-0.044,0.31866666666666665,0.31866666666666665,1380.1262625049017,-2.9402898933019885e-06,-205435.56394192745,1303.5769775942736
0.00285013035,,fixed_static_lattice_reference,KG,0.045,-0.045,0.3183333333333333,0.3183333333333333,1380.1293291850895,-2.8608057193061998e-06,-204478.39338606375,1303.9473041081153
0.00285013035,,fixed_static_lattice_reference,KG,0.046,-0.046,0.318,0.318,1380.132504069131,-2.7835394276588033e-06,-203547.93118701535,1304.3074014974825
0.00285013035,,fixed_static_lattice_reference,KG,0.047,-0.047,0.31766666666666665,0.31766666666666665,1380.1357893231793,-2.710613045109624e-06,-202669.73138178838,1304.6474870971572
0.00285013035,,fixed_static_lattice_reference,KG,0.048,-0.048,0.3173333333333333,0.3173333333333333,1380.1391871393398,-2.6394845118491058e-06,-201813.181778312,1304.979307919986
0.00285013035,,fixed_static_lattice_reference,KG,0.049,-0.049,0.317,0.317,1380.142699735425,-2.566162781841493e-06,-200930.2210889049,1305.321282498712
0.00285013035,,fixed_static_lattice_reference,KG,0.05,-0.05,0.31666666666666665,0.31666666666666665,1380.146329354708,-2.494410298122012e-06,-200066.15770026078,1305.656054530064
0.00285013035,,fixed_static_lattice_reference,KG,0.051000000000000004,-0.051000000000000004,0.3163333333333333,0.3163333333333333,1380.150078265671,-2.426920506089695e-06,-199253.4268318728,1305.9712139648657
0.00285013035,,fixed_static_lattice_reference,KG,0.052000000000000005,-0.052000000000000005,0.316,0.316,1380.153948761744,-2.361058238894774e-06,-198460.2950707659,1306.2789239713961
0.00285013035,,fixed_static_lattice_reference,KG,0.053,-0.053,0.31566666666666665,0.31566666666666665,1380.1579431610503,-2.29266402646327e-06,-197636.67292009233,1306.5983603045156
0.00285013035,,fixed_static_lattice_reference,KG,0.054,-0.054,0.3153333333333333,0.3153333333333333,1380.1620638061374,-2.2258051997124223e-06,-196831.54031131798,1306.9107781552261
0.00285013035,,fixed_static_lattice_reference,KG,0.055,-0.055,0.315,0.315,1380.1663130637128,-2.1632822150615933e-06,-196078.62112044025,1307.2032858723398
0.00285013035,,fixed_static_lattice_reference,KG,0.056,-0.056,0.31466666666666665,0.31466666666666665,1380.170693324366,-2.1023569073595715e-06,-195344.94160025803,1307.4885089786462
0.00285013035,,fixed_static_lattice_reference,KG,0.057,-0.057,0.3143333333333333,0.3143333333333333,1380.1752070023006,-2.038740927420198e-06,-194578.86025576785,1307.786198798594
0.00285013035,,fixed_static_lattice_reference,KG,0.058,-0.058,0.314,0.314,1380.1798565350475,-1.976744147032249e-06,-193832.27776314688,1308.0765109969514
0.00285013035,,fixed_static_lattice_reference,KG,0.059000000000000004,-0.059000000000000004,0.31366666666666665,0.31366666666666665,1380.184644383184,-1.919430331273357e-06,-193142.08883457456,1308.3453533973977
0.00285013035,,fixed_static_lattice_reference,KG,0.06,-0.06,0.3133333333333333,0.3133333333333333,1380.1895730300491,-1.8644458761969848e-06,-192479.9507159586,1308.6035712869314
0.00285013035,,fixed_static_lattice_reference,KG,0.061,-0.061,0.313,0.313,1380.194644981451,-1.8091388925344884e-06,-191813.92861829948,1308.863373090245
0.00285013035,,fixed_static_lattice_reference,KG,0.062,-0.062,0.31266666666666665,0.31266666666666665,1380.1998627653716,-1.7627521922924317e-06,-191255.32705746897,1309.0822487987841
0.00285013035,,fixed_static_lattice_reference,KG,0.063,-0.063,0.31233333333333335,0.31233333333333335,1380.2052289316744,-1.709183660341857e-06,-190610.2398794019,1309.334271334457
0.00285013035,,fixed_static_lattice_reference,KG,0.064,-0.064,0.312,0.312,1380.2107460517989,-1.645031950347712e-06,-189837.70712441654,1309.635062295007
0.00285013035,,fixed_static_lattice_reference,KG,0.065,-0.065,0.3116666666666667,0.3116666666666667,1380.216416718459,-1.5853713134674477e-06,-189119.2571224213,1309.9153025507876
0.00285013035,,fixed_static_lattice_reference,KG,0.066,-0.066,0.3113333333333333,0.3113333333333333,1380.2222435453364,-1.5297312253293146e-06,-188449.2236879126,1310.177170419867
0.00285013035,,fixed_static_lattice_reference,KG,0.067,-0.067,0.311,0.311,1380.2282291667698,-1.479254213143105e-06,-187841.36545169097,1310.4154299828533
0.00285013035,,fixed_static_lattice_reference,KG,0.068,-0.068,0.31066666666666665,0.31066666666666665,1380.2343762374414,-1.4304653676085923e-06,-187253.83658836412,1310.6460608261846
0.00285013035,,fixed_static_lattice_reference,KG,0.069,-0.069,0.31033333333333335,0.31033333333333335,1380.2406874320623,-1.3786732281179192e-06,-186630.141222941,1310.890618632993
0.00285013035,,fixed_static_lattice_reference,KG,0.07,-0.07,0.31,0.31,1380.2471654450524,-1.3282804873261614e-06,-186023.297806317,1311.1288799781603
0.00285013035,,fixed_static_lattice_reference,KG,0.07100000000000001,-0.07100000000000001,0.3096666666666667,0.3096666666666667,1380.2538129902184,-1.2821792857629127e-06,-185468.13430007463,1311.347571765
0.00285013035,,fixed_static_lattice_reference,KG,0.07200000000000001,-0.07200000000000001,0.3093333333333333,0.3093333333333333,1380.2606328004308,-1.2373798582069176e-06,-184928.64711891048,1311.5604322103252
0.00285013035,,fixed_static_lattice_reference,KG,0.073,-0.073,0.309,0.309,1380.267627627295,-1.1894028872480114e-06,-184350.895075292,1311.788027388796
