direction,distance,signed_distance,q1,q2,short_range_MLIP_cm-1,full_EPC_response_Ry2,long_range_correction_cm-2,MLIP_plus_full_EPC_cm-1
KG,0.023,-0.023,0.32566666666666666,0.32566666666666666,1380.0833087918027,-4.7105923144739735e-06,-226754.03864369448,1295.328491372762
KG,0.024,-0.024,0.3253333333333333,0.3253333333333333,1380.0845552492738,-4.609042219373767e-06,-225531.14412156952,1295.80177323386
KG,0.025,-0.025,0.325,0.325,1380.0858708018882,-4.506109652804503e-06,-224291.60149306088,1296.2813773613912
KG,0.026000000000000002,-0.026000000000000002,0.32466666666666666,0.32466666666666666,1380.0872570222903,-4.4075902163451405e-06,-223105.2030061849,1296.7403880457816
KG,0.027,-0.027,0.3243333333333333,0.3243333333333333,1380.0887155131586,-4.307666707406052e-06,-221901.89628753992,1297.2058303905437
KG,0.028,-0.028,0.324,0.324,1380.0902479070614,-4.212119393579425e-06,-220751.28892900381,1297.6508788727308
KG,0.029,-0.029,0.32366666666666666,0.32366666666666666,1380.0918558663009,-4.115145782026571e-06,-219583.50569609163,1298.1024708906455
KG,0.03,-0.03,0.3233333333333333,0.3233333333333333,1380.0935410827624,-4.022517634485861e-06,-218468.05175082112,1298.53383875336
KG,0.031,-0.031,0.323,0.323,1380.0953052777486,-3.928446378439644e-06,-217335.21949108946,1298.9718365532767
KG,0.032,-0.032,0.32266666666666666,0.32266666666666666,1380.0971502018156,-3.838683155387968e-06,-216254.26576426276,1299.389809961164
KG,0.033,-0.033,0.3223333333333333,0.3223333333333333,1380.0990776346,-3.7474559101196286e-06,-215155.68187424162,1299.81451838854
KG,0.034,-0.034,0.322,0.322,1380.1010893846453,-3.6604952890990098e-06,-214108.47786146583,1300.21941958241
KG,0.035,-0.035,0.32166666666666666,0.32166666666666666,1380.1031872892179,-3.5720635156333697e-06,-213043.55782130023,1300.6310967159588
KG,0.036000000000000004,-0.036000000000000004,0.3213333333333333,0.3213333333333333,1380.1053732141243,-3.487852680333938e-06,-212029.46749386506,1301.0232025911882
KG,0.037,-0.037,0.321,0.321,1380.1076490535195,-3.4021553191086803e-06,-210997.47600730346,1301.4221632386352
KG,0.038,-0.038,0.32066666666666666,0.32066666666666666,1380.1100167297118,-3.3206368015474162e-06,-210015.80731975526,1301.8017709920086
KG,0.039,-0.039,0.3203333333333333,0.3203333333333333,1380.1124781929639,-3.2376164402058485e-06,-209016.05301121168,1302.1883118246426
KG,0.04,-0.04,0.32,0.32,1380.1150354212862,-3.158733836144769e-06,-208066.1267280107,1302.5557125389635
