smearing_degauss_Ry,fit_scope,signed_distance,DFPT_fit_frequency_cm-1
0.0019000869,K_to_Gamma,-0.024599999999999997,1299.5214714142721
0.0019000869,K_to_Gamma,-0.024675,1299.5646708439551
0.0019000869,K_to_Gamma,-0.024749999999999998,1299.6078586970489
0.0019000869,K_to_Gamma,-0.024824999999999996,1299.6510348386266
0.0019000869,K_to_Gamma,-0.0249,1299.6941991351778
0.0019000869,K_to_Gamma,-0.024974999999999997,1299.73735145459
0.0019000869,K_to_Gamma,-0.02505,1299.780491666131
0.0019000869,K_to_Gamma,-0.025124999999999998,1299.823619640433
0.0019000869,K_to_Gamma,-0.025199999999999997,1299.866735249473
0.0019000869,K_to_Gamma,-0.025275,1299.9098383665582
0.0019000869,K_to_Gamma,-0.025349999999999998,1299.9529288663073
0.0019000869,K_to_Gamma,-0.025424999999999996,1299.996006624635
0.0019000869,K_to_Gamma,-0.0255,1300.0390715187361
0.0019000869,K_to_Gamma,-0.025574999999999997,1300.0821234270695
0.0019000869,K_to_Gamma,-0.02565,1300.1251622293414
0.0019000869,K_to_Gamma,-0.025724999999999998,1300.168187806491
0.0019000869,K_to_Gamma,-0.025799999999999997,1300.2112000406744
0.0019000869,K_to_Gamma,-0.025875,1300.2541988152504
0.0019000869,K_to_Gamma,-0.025949999999999997,1300.2971840147643
0.0019000869,K_to_Gamma,-0.026024999999999996,1300.340155524935
0.0019000869,K_to_Gamma,-0.026099999999999998,1300.3831132326388
0.0019000869,K_to_Gamma,-0.026174999999999997,1300.4260570258969
0.0019000869,K_to_Gamma,-0.02625,1300.4689867938591
0.0019000869,K_to_Gamma,-0.026324999999999998,1300.5119024267929
0.0019000869,K_to_Gamma,-0.026399999999999996,1300.5548038160675
0.0019000869,K_to_Gamma,-0.026475,1300.5976908541413
0.0019000869,K_to_Gamma,-0.026549999999999997,1300.640563434549
0.0019000869,K_to_Gamma,-0.026625,1300.683421451887
0.0019000869,K_to_Gamma,-0.026699999999999998,1300.726264801803
0.0019000869,K_to_Gamma,-0.026774999999999997,1300.7690933809806
0.0019000869,K_to_Gamma,-0.02685,1300.8119070871292
0.0019000869,K_to_Gamma,-0.026924999999999998,1300.8547058189702
0.0019000869,K_to_Gamma,-0.026999999999999996,1300.8974894762248
0.0019000869,K_to_Gamma,-0.027075,1300.9402579596033
0.0019000869,K_to_Gamma,-0.027149999999999997,1300.983011170791
0.0019000869,K_to_Gamma,-0.027225,1301.0257490124395
0.0019000869,K_to_Gamma,-0.027299999999999998,1301.068471388153
0.0019000869,K_to_Gamma,-0.027374999999999997,1301.1111782024768
0.0019000869,K_to_Gamma,-0.02745,1301.153869360888
0.0019000869,K_to_Gamma,-0.027524999999999997,1301.1965447697828
0.0019000869,K_to_Gamma,-0.027599999999999996,1301.239204336466
0.0019000869,K_to_Gamma,-0.027674999999999998,1301.2818479691412
0.0019000869,K_to_Gamma,-0.027749999999999997,1301.3244755768985
0.0019000869,K_to_Gamma,-0.027825,1301.3670870697063
0.0019000869,K_to_Gamma,-0.027899999999999998,1301.4096823583982
0.0019000869,K_to_Gamma,-0.027974999999999996,1301.4522613546653
0.0019000869,K_to_Gamma,-0.02805,1301.4948239710454
0.0019000869,K_to_Gamma,-0.028124999999999997,1301.5373701209126
0.0019000869,K_to_Gamma,-0.028199999999999996,1301.5798997184681
0.0019000869,K_to_Gamma,-0.028274999999999998,1301.6224126787301
0.0019000869,K_to_Gamma,-0.028349999999999997,1301.6649089175253
0.0019000869,K_to_Gamma,-0.028425,1301.7073883514786
0.0019000869,K_to_Gamma,-0.028499999999999998,1301.7498508980043
0.0019000869,K_to_Gamma,-0.028574999999999996,1301.792296475296
0.0019000869,K_to_Gamma,-0.02865,1301.8347250023198
0.0019000869,K_to_Gamma,-0.028724999999999997,1301.8771363988037
0.0019000869,K_to_Gamma,-0.0288,1301.9195305852288
0.0019000869,K_to_Gamma,-0.028874999999999998,1301.9619074828217
0.0019000869,K_to_Gamma,-0.028949999999999997,1302.0042670135456
0.0019000869,K_to_Gamma,-0.029025,1302.046609100091
0.0019000869,K_to_Gamma,-0.029099999999999997,1302.0889336658693
0.0019000869,K_to_Gamma,-0.029174999999999996,1302.1312406350023
0.0019000869,K_to_Gamma,-0.029249999999999998,1302.1735299323163
0.0019000869,K_to_Gamma,-0.029324999999999997,1302.2158014833326
0.0019000869,K_to_Gamma,-0.0294,1302.258055214261
0.0019000869,K_to_Gamma,-0.029474999999999998,1302.3002910519906
0.0019000869,K_to_Gamma,-0.029549999999999996,1302.342508924083
0.0019000869,K_to_Gamma,-0.029625,1302.3847087587646
0.0019000869,K_to_Gamma,-0.029699999999999997,1302.4268904849196
0.0019000869,K_to_Gamma,-0.029774999999999996,1302.4690540320814
0.0019000869,K_to_Gamma,-0.029849999999999998,1302.5111993304272
0.0019000869,K_to_Gamma,-0.029924999999999997,1302.5533263107686
0.0019000869,K_to_Gamma,-0.03,1302.595434904547
0.00285013035,K_to_Gamma,-0.0,1289.791537
0.00285013035,K_to_Gamma,-7.5e-05,1289.791672517787
0.00285013035,K_to_Gamma,-0.00015,1289.792079060135
0.00285013035,K_to_Gamma,-0.000225,1289.79275659401
0.00285013035,K_to_Gamma,-0.0003,1289.7937050643677
0.00285013035,K_to_Gamma,-0.00037499999999999995,1289.7949243941746
0.00285013035,K_to_Gamma,-0.00045,1289.7964144844357
0.00285013035,K_to_Gamma,-0.000525,1289.7981752142284
0.00285013035,K_to_Gamma,-0.0006,1289.8002064407478
0.00285013035,K_to_Gamma,-0.0006749999999999999,1289.8025079993574
0.00285013035,K_to_Gamma,-0.0007499999999999999,1289.8050797036478
0.00285013035,K_to_Gamma,-0.0008249999999999999,1289.8079213455044
0.00285013035,K_to_Gamma,-0.0009,1289.8110326951808
0.00285013035,K_to_Gamma,-0.000975,1289.8144135013815
0.00285013035,K_to_Gamma,-0.00105,1289.8180634913517
0.00285013035,K_to_Gamma,-0.001125,1289.8219823709735
0.00285013035,K_to_Gamma,-0.0012,1289.8261698248712
