smearing_degauss_Ry,lattice_temperature_K,direction,signed_q_2pi_over_a,q1,q2,MLIP_plus_full_EPC_LR_cm-1,DFT_TDEP_wave3_raw_6x6_cm-1,DFT_TDEP_wave1_plus_full_EPC_LR_cm-1,DFT_TDEP_wave2_plus_full_EPC_LR_cm-1,DFT_TDEP_wave3_plus_full_EPC_LR_cm-1
0.0019000869,300,KM,0.006,0.3363333333333333,0.3273333333333333,1283.8442661132983,1280.755714044875,1286.4304496646714,1298.0595355737792,1282.3655793987157
0.0019000869,300,KM,0.006333333333333333,0.3365,0.327,1284.0691129259596,1280.7655078255002,1286.6499298728972,1298.2748622314225,1282.5848933329162
0.0019000869,300,KM,0.006666666666666666,0.33666666666666667,0.32666666666666666,1284.3114203445393,1280.775832105005,1286.886574990414,1298.507082066282,1282.8213781263273
0.0019000869,300,KM,0.007,0.3368333333333333,0.3263333333333333,1284.5467907476775,1280.786686945649,1287.1160369089625,1298.7320649364094,1283.0506083345144
0.0019000869,300,KM,0.007333333333333332,0.33699999999999997,0.326,1284.7978938795768,1280.7980724020226,1287.360940710146,1298.9722335094534,1283.2952805626821
0.0019000869,300,KM,0.007666666666666666,0.33716666666666667,0.32566666666666666,1285.0535456197285,1280.8099885210154,1287.6101253249055,1299.2165266114025,1283.5441982043553
0.0019000869,300,KM,0.008,0.3373333333333333,0.3253333333333333,1285.3056934332044,1280.8224353417838,1287.8555548538757,1299.4569801027023,1283.7892997408744
0.0019000869,300,KM,0.008333333333333333,0.33749999999999997,0.325,1285.5739487916378,1280.835412895717,1288.1168026264747,1299.7129925596303,1284.0502203341669
0.0019000869,300,KM,0.008666666666666666,0.3376666666666666,0.32466666666666666,1285.8384050687173,1280.8489212064053,1288.3740021324622,1299.9648748316313,1284.3070303875684
0.0019000869,300,KM,0.009,0.3378333333333334,0.3243333333333333,1286.1062084387747,1280.8629602896099,1288.6342861280543,1300.219696000726,1284.566885088345
0.0019000869,300,KM,0.009333333333333332,0.338,0.324,1286.3834615806668,1280.8775301532262,1288.9037461092341,1300.4834933320087,1284.8358950589611
0.0019000869,300,KM,0.009666666666666667,0.33816666666666667,0.32366666666666666,1286.6553499914514,1280.892630797258,1289.1675973338208,1300.7416137639495,1285.099228588806
0.0019000869,300,KM,0.009999999999999998,0.3383333333333333,0.3233333333333333,1286.9352441646893,1280.9082622137826,1289.4391849451024,1301.0072836318066,1285.3702729159427
0.0019000869,300,KM,0.010333333333333333,0.3385,0.323,1287.2164584928753,1280.9244243869193,1289.711837176273,1301.273890556604,1285.6423349967104
0.0019000869,300,KM,0.010666666666666666,0.33866666666666667,0.32266666666666666,1287.4946285700119,1280.941117292801,1289.981198818712,1301.5371179806725,1285.9110456849558
0.0019000869,300,KM,0.011,0.3388333333333333,0.3223333333333333,1287.7795167447266,1280.958340899541,1290.2570141796984,1301.8066236572745,1286.1861799794985
0.0019000869,300,KM,0.011333333333333334,0.33899999999999997,0.322,1288.0618564849678,1280.976095167205,1290.5300353887014,1302.073241794498,1286.45846058839
0.0019000869,300,KM,0.011666666666666667,0.33916666666666667,0.32166666666666666,1288.3451348916317,1280.9943800477783,1290.8037436491088,1302.3404226667244,1286.731379584256
0.0019000869,300,KM,0.012,0.3393333333333333,0.3213333333333333,1288.6309841862424,1281.0131954851386,1291.0797689269689,1302.6097817932718,1287.0065719433876
0.0019000869,300,KM,0.012333333333333332,0.33949999999999997,0.321,1288.9146556355822,1281.0325414150263,1291.3533723536207,1302.8766222349543,1287.2792836518931
