signed_distance,MLIP_full_EPC_LR_original_cm-1,MLIP_full_EPC_LR_reanchored_cm-1,DFPT_N_infinity_local_cusp_cm-1,K_aligned_model_minus_DFPT_cm-1
-0.0007949999999999997,1282.676610013958,1284.698443040275,1284.7469037896064,-0.04846074933152522
-0.0007899999999999999,1282.6733265948283,1284.6951596211452,1284.7434943634223,-0.04833474227712031
-0.0007849999999999997,1282.6700440961458,1284.6918771224628,1284.740084937238,-0.04820781477519631
-0.0007799999999999999,1282.6667625723016,1284.6885955986186,1284.7366755110538,-0.04807991243524157
-0.0007750000000000001,1282.6634820776887,1284.6853151040057,1284.7332660848697,-0.047950980864015946
-0.0007699999999999999,1282.6602026666988,1284.6820356930157,1284.7298566586853,-0.047820965669643556
-0.0007650000000000001,1282.6569243937233,1284.6787574200403,1284.7264472325012,-0.047689812460930625
-0.0007599999999999998,1282.6536473131553,1284.6754803394722,1284.723037806317,-0.04755746684486439
-0.000755,1282.6503714793857,1284.6722045057027,1284.7196283801327,-0.047423874430023716
-0.0007499999999999998,1282.647096946807,1284.668929973124,1284.7162189539486,-0.0472889808245327
-0.000745,1282.643823769811,1284.665656796128,1284.7128095277644,-0.047152731636515455
-0.0007399999999999998,1282.6405520027904,1284.6623850291073,1284.70940010158,-0.047015072472731845
-0.000735,1282.6372817001363,1284.6591147264533,1284.705990675396,-0.04687594894267022
-0.0007299999999999997,1282.6340129162413,1284.6558459425582,1284.7025812492118,-0.046735306653545194
-0.000725,1282.630745705497,1284.652578731814,1284.6991718230274,-0.046593091213480875
-0.0007199999999999997,1282.6274801222955,1284.6493131486125,1284.6957623968433,-0.046449248230828744
-0.0007149999999999999,1282.624216221029,1284.646049247346,1284.6923529706592,-0.04630372331325816
-0.0007099999999999997,1282.620954056089,1284.642787082406,1284.6889435444748,-0.046156462068893234
-0.0007049999999999999,1282.617693681868,1284.639526708185,1284.6855341182907,-0.0460074101056307
-0.0006999999999999997,1282.614435152758,1284.636268179075,1284.6821246921065,-0.04585651303159466
-0.0006949999999999999,1282.6111785231508,1284.6330115494677,1284.6787152659222,-0.04570371645445448
-0.0006900000000000001,1282.6079238474383,1284.6297568737552,1284.675305839738,-0.045548965982789014
-0.0006849999999999998,1282.6046711800127,1284.6265042063296,1284.671896413554,-0.04539220722426762
-0.00068,1282.6014205752663,1284.6232536015832,1284.6684869873695,-0.04523338578633229
-0.0006749999999999998,1282.5981720875902,1284.6200051139072,1284.6650775611854,-0.045072447278244
-0.00067,1282.5949257713771,1284.616758797694,1284.6616681350013,-0.044909337307217356
-0.0006649999999999998,1282.5916816810186,1284.6135147073355,1284.658258708817,-0.04474400148137647
-0.00066,1282.5884398709072,1284.6102728972241,1284.6548492826328,-0.04457638540861808
-0.0006549999999999998,1282.5852003954346,1284.6070334217516,1284.6514398564486,-0.04440643469706629
-0.00065,1282.581963308993,1284.6037963353099,1284.6480304302643,-0.04423409495439046
-0.0006449999999999997,1282.5787286659738,1284.6005616922907,1284.6446210040801,-0.044059311789396816
-0.0006399999999999999,1282.5754965207695,1284.5973295470865,1284.641211577896,-0.04388203080952735
-0.0006349999999999997,1282.5722669277723,1284.5940999540892,1284.6378021517116,-0.04370219762245142
-0.0006299999999999999,1282.5690399413736,1284.5908729676905,1284.6343927255275,-0.04351975783697526
-0.0006249999999999997,1282.565815615966,1284.5876486422828,1284.6309832993434,-0.04333465706054085
-0.0006199999999999999,1282.5625940059406,1284.5844270322575,1284.627573873159,-0.04314684090149967
-0.0006149999999999997,1282.5593751656904,1284.5812081920074,1284.6241644469749,-0.04295625496752109
-0.0006099999999999999,1282.556159149607,1284.577992175924,1284.6207550207907,-0.04276284486672921
-0.0006050000000000001,1282.5529460120824,1284.5747790383994,1284.6173455946064,-0.04256655620702077
-0.0005999999999999998,1282.5497358075083,1284.5715688338253,1284.6139361684222,-0.042367334596974615
